        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202604280000,   3.629,   4.480,   0.700,   0.151,   4.480,   0.700,   4.480,   0.800,   4.580
202604280006,   3.566,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280012,   3.499,   4.329,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280018,   3.430,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280024,   3.359,   4.188,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280030,   3.285,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280036,   3.209,   4.037,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280042,   3.132,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280048,   3.052,   3.899,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280054,   2.971,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280100,   2.888,   3.749,   0.700,   0.161,   3.749,   0.700,   3.749,   0.800,   3.849
202604280106,   2.805,   3.660,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280112,   2.720,   3.568,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280118,   2.634,   3.480,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280124,   2.547,   3.388,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280130,   2.459,   3.289,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280136,   2.371,   3.188,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280142,   2.283,   3.099,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
